title~views~uptime_y~uptime_m~uptime_d~link
Baby Taku's World - Baby learns to say &quot;bye-bye&quot; - ChuChu TV Sing-along Nursery Rhymes~176,014~0~1~33~https://www.youtube.com/watch?v=3D5MDv3Qg8IVc
Baby Taku's World - Medicine is yuck song - ChuChu TV Sing-along Nursery Rhymes~356,618~0~1~40~https://www.youtube.com/watch?v=3DDJ1hCg57eng
Letter =E2=80=9CF=E2=80=9D Song - Reading fun for Kids!~173,813~0~1~42~https://www.youtube.com/watch?v=3D4awe20EFcuw
Baby Taku's World - Peekaboo! I see you song + More ChuChu TV Sing-along Nursery Rhymes~427,287~0~1~43~https://www.youtube.com/watch?v=3DS3pF7R56PU8
The Finger Family Song - Kids Songs and Learning Videos - ChuChu TV Classics~1,964,393~0~1~43~https://www.youtube.com/watch?v=3DxIPImto6ZzU
Healthy Vegetables Nursery Rhyme - Baby Taku, Jumblikans Dinosaurs - ChuChuTV Toddler Learning Video~417,174~0~1~50~https://www.youtube.com/watch?v=3DFDy5CVOg-20
Letter =E2=80=9CE=E2=80=9D Song - Reading fun for Kids!~188,748~0~1~50~https://www.youtube.com/watch?v=3DicLGCa8o9rg
Baby Taku's World - Put Your Toys Away Song - ChuChu TV Sing-along Nursery Rhymes~775,323~0~2~59~https://www.youtube.com/watch?v=3DIL6i6px6vPA
If You're Happy and You Know It Nursery Rhyme - Kids Songs and Learning Videos - ChuChu TV Classics~448,258~0~2~59~https://www.youtube.com/watch?v=3DnWEcDE6JP0Y
Baby Taku's World - Baby is scared song - ChuChu TV Sing-along Nursery Rhymes~675,542~0~2~59~https://www.youtube.com/watch?v=3Dh69CrIC3EVg
Letter =E2=80=9CD=E2=80=9D Song - Reading fun for Kids!~271,654~0~2~59~https://www.youtube.com/watch?v=3Dm7KlRyVwpTA
Baby Taku's World - Yoga Time Song + More ChuChu TV Sing-along Nursery Rhymes~507,816~0~2~59~https://www.youtube.com/watch?v=3D85nXD4wxOP0
Five Little Monkeys Jumping on the Bed - The Smart Monkeys - Kids Songs - ChuChu TV Classics~945,255~0~2~59~https://www.youtube.com/watch?v=3DO5PxF7sRx-4
Animal Friends Nursery Rhyme - Baby Taku &amp; Jumblikans Dinosaurs - ChuChuTV Toddler Learning Videos~491,495~0~2~59~https://www.youtube.com/watch?v=3Dq-RfrNKNuEc
Baby Taku's World - Car Safety Song - ChuChu TV Sing-along Nursery Rhymes~588,740~0~2~59~https://www.youtube.com/watch?v=3Df16tB7FQr-E
Are you sleeping? Little Johny Nursery Rhyme - Wild Animals Kids Song - ChuChu TV Classics~601,648~0~3~90~https://www.youtube.com/watch?v=3DKWFdnPae14I
Leafy Sea Dragon Nursery Rhyme - Kids Songs and Learning Videos - ChuChu TV Classics~448,186~0~3~90~https://www.youtube.com/watch?v=3DGFiNepG6xL4
Baby Taku's World - My Imaginary Friend Song + More ChuChu TV Nursery Rhymes for Babies~468,510~0~3~90~https://www.youtube.com/watch?v=3DFhouCCCafjE
Letter =E2=80=9CC=E2=80=9D Song - Reading fun for Kids!~277,589~0~3~90~https://www.youtube.com/watch?v=3DoaYKgsY3SLQ
Sky Song Nursery Rhyme with Baby Taku &amp; Jumblikans Dinosaurs - ChuChuTV Toddler Learning Videos~489,749~0~3~90~https://www.youtube.com/watch?v=3DzzHYMfvOy68
Little Miss Muffet Nursery Rhyme - Kids Songs and Learning Videos - ChuChu TV Classics~467,520~0~3~90~https://www.youtube.com/watch?v=3De2VZvqe6rng
Letter =E2=80=9CB=E2=80=9D Song - Reading fun for Kids!~366,432~0~3~90~https://www.youtube.com/watch?v=3DvPE9Um92M3c
The Mango Nursery Rhyme - Kids Songs and Learning Videos - ChuChu TV Classics~1,876,849~0~5~151~https://www.youtube.com/watch?v=3DU_FbOA7C2D0
Are You Sleeping? Little Johny Nursery Rhyme with Baby Taku - Farm Animals - ChuChu TV Classics~1,816,801~0~5~151~https://www.youtube.com/watch?v=3DILW7FRf9ITw
I See Colors Nursery Rhyme with Baby Taku -  Kids Songs and Learning Videos for Babies by ChuChu TV~836,355~0~5~151~https://www.youtube.com/watch?v=3D4uODIwN7gjQ
Chubby Cheeks Nursery Rhyme - Love All &amp; Help All - Fun Learning Videos for Babies by ChuChu TV~1,717,015~0~5~151~https://www.youtube.com/watch?v=3DInjAIlwpdCQ
The Jobs Song - Professions Nursery Rhyme - Kids Songs and Learning Videos for Babies by ChuChu TV~620,051~0~6~182~https://www.youtube.com/watch?v=3DaTvxMP8Wo9M
The Fruit Friends Nursery Rhyme with Baby Taku + More ChuChu TV Toddler Learning Videos for Babies~7,582,459~0~6~182~https://www.youtube.com/watch?v=3DNMpY1h1wlTg
The Exercise Song with Jumblikans Dinosaurs - Kids Learning Songs - ChuChu TV Nursery Rhymes~454,894~0~6~182~https://www.youtube.com/watch?v=3DbiaY5xDUYq4
Musical Instruments Song with Jumblikans Dinosaurs- Kids Learning Songs - ChuChuTV Nursery Rhymes~851,758~0~7~212~https://www.youtube.com/watch?v=3DFP4XtGt78F4
The Ice Cream Colors Song with Jumblikans Dinosaurs + more ChuChu TV Nursery Rhymes for Kids~633,343~0~7~212~https://www.youtube.com/watch?v=3DiOAllhOx6yA
Brush Your Teeth Song | Good Habits Nursery Rhymes For Children | ChuChu TV Classics~2,272,354~0~7~212~https://www.youtube.com/watch?v=3DyBnp-FKlyb4
The Wheels on the Cars Go Round and Round Song with Jumblikans Dinosaurs - Nursery Rhymes Collection~736,685~0~8~243~https://www.youtube.com/watch?v=3DsmIZ3sQsm10
Jack And Jill Nursery Rhyme - Inspirational Toddler Learning Video - ChuChu TV Classics~1,478,895~0~8~243~https://www.youtube.com/watch?v=3DXxb-bIn3x4U
Humpty Dumpty Nursery Rhyme - Learn From Your Mistakes! - ChuChu TV Classics~3,742,630~0~9~271~https://www.youtube.com/watch?v=3DqoDfOuMIMvU
The Sea Otter Song | ChuChu TV Sea World Nursery Rhymes | ChuChu TV Classics~954,990~0~9~271~https://www.youtube.com/watch?v=3D5NZUsRlfjTk
