title~views~uptime_y~uptime_m~uptime_d~link
NGAKAK LIAT MOANA PAKE KEBAYA!! Sampai Nyungsep=F0=9F=98=82~135,450~0~1~29~https://www.youtube.com/watch?v=3DwS9zPRIf884
BARU KALI INI CIUM AROMA KAOS KAKI MOANA=F0=9F=98=82 Aromanya Bikin Mau Pingsan=F0=9F=98=82~184,571~0~1~30~https://www.youtube.com/watch?v=3Dnu0w2zRgfxg
GAWAT! Moana MINTA NAIK ANGKOT.. Nangis Di Mobil Lagi=F0=9F=98=AD~165,795~0~1~31~https://www.youtube.com/watch?v=3DQzFNwXrtPaU
MOANA PRANK ORANG ASING.. Reaksinya Kaget Banget=F0=9F=98=82~294,948~0~1~33~https://www.youtube.com/watch?v=3D0nUVhhZ6a3M
MAU PINDAH KE KEBAGUSAN LAGI.. Bismillah..~243,662~0~1~34~https://www.youtube.com/watch?v=3D1pi2Z7ZDrEI
DETIK-DETIK TANGISAN RICIS PECAH.. Moana Panik??!!~179,839~0~1~35~https://www.youtube.com/watch?v=3DvaxW0XOK9FY
MOANA DAPET GENK BARU LAGI..!! Ini Ketuanya.. bayi sultan..~253,811~0~1~36~https://www.youtube.com/watch?v=3DaFJr-0Ze4uk
MOANA KE KAMPUNG HALAMAN SUS YEN.. Semua Heboh..~576,820~0~1~37~https://www.youtube.com/watch?v=3DdKi34rIBuM8
REAKSI KETEMU MOANA WAKTU SAMBUT AKU.. Hiks..~235,945~0~1~38~https://www.youtube.com/watch?v=3DCbf6JhhXnNE
AKHIRNAYA OWNER  DAVIENA BUKA SUARA.. Sewa Gedung..~342,194~0~1~39~https://www.youtube.com/watch?v=3DlZgxcfQx7QM
MOANA NANGIS KENCENG MANJA BANGET SAMA PAPANYA!!.~197,320~0~1~40~https://www.youtube.com/watch?v=3DShvprcIXbWM
Ga ADA YANG TAU RAHASIA TRISENSTORE DI BALIK RUMAH 50 Milyar..!!~128,629~0~1~42~https://www.youtube.com/watch?v=3D-BAJ5icIl0Y
EXCLUSIF! DATENGIN PAK RIBUT MINTA KLARIFIKASI SOAL PERKATAAN APRIL??!!~151,979~0~1~43~https://www.youtube.com/watch?v=3Dsps0IGoTcJk
BAHAYA! Kali Ini ANJING YANG TAKUT SAMA MOANA..!!~422,235~0~1~43~https://www.youtube.com/watch?v=3Dnhgz52Gtvrc
Salfok! Moana Jadi Host Di Acara Besar?? RICIS KALAH..!!~735,845~0~1~50~https://www.youtube.com/watch?v=3DHx1WO14VOas
MASUK RUMAH BOY WILLIAM 30 MILYAR!! Termahal dan Terbesar!!!~538,332~0~1~50~https://www.youtube.com/watch?v=3D89a9lH5iddM
RICIS MAKAN BULU BABI.. Semua Orang Marah?? Katanya gak HALAL?~218,843~0~1~50~https://www.youtube.com/watch?v=3DUprnN-A2tWc
Ngakak Banget! Moana Diseruduk Domba=F0=9F=98=82 RICIS KETEMU TEMEN KECIL!~463,707~0~1~57~https://www.youtube.com/watch?v=3D7QAbs2mRFWw
Reaksi MOANA DITINGGAL KERJA KE BALI.. Tahan Mewek!!~235,945~0~1~57~https://www.youtube.com/watch?v=3DX-X5Fjnhj1o
GURU MOANA DATENG KE RUMAH!! Gara-Gara Bolos 1 minggu..~498,365~0~2~59~https://www.youtube.com/watch?v=3DVrI1TumTYN0
HARI INI :)~300,219~0~2~59~https://www.youtube.com/watch?v=3DfVDwmXLRRUU
SEMUA BAYI BERKUMPUL.. ameena mau punya adek..!!~1,094,435~0~2~59~https://www.youtube.com/watch?v=3D6MCrjEPRScM
PERTAMA KALI MOANA HAPPY BANGET PAKAI HIJAB SYAR=E2=80=99I.. masyaallah..!!~364,610~0~2~59~https://www.youtube.com/watch?v=3Dj_EMZSMlRyk
OMG! Moana berenang nangis Nyelem 5 Meter..!! Tahan Nafas terlama..!!~299,184~0~2~59~https://www.youtube.com/watch?v=3DVysEWthnyqs
Ngakak! Ngajak Bule Jerman Log In=F0=9F=98=82~286,946~0~2~59~https://www.youtube.com/watch?v=3DStlQOIXHeWg
MANDI BARENG MOANA.. sweet Banget Sampe tenggelem..??~617,562~0~2~59~https://www.youtube.com/watch?v=3DLkfOSLvXeMY
MASYAALLAH! Papa iyan Dan MOANA RUSUHIN BU ICIS DI RUMAH.. heboh semuaaa!~326,741~0~2~59~https://www.youtube.com/watch?v=3DBJjaDl0woJ0
Extrim! Jangan DITIRU.. Moana bayi 1 tahun NYELAM 3 Meter!! Nontonnya deg-degan Banget..~486,492~0~2~59~https://www.youtube.com/watch?v=3D3WTEOncjE10
TIDURIN PAPA IYAN &amp; MOANA SUSAH BANGET!! Dua-Duanya Heboh!!!~356,921~0~2~59~https://www.youtube.com/watch?v=3DGL6sPQePpT8
SEDIH BANGET! Pertama Kali Moana Ditinggal Ke Medan..!!~244,131~0~2~59~https://www.youtube.com/watch?v=3DDxtsSfOXTuE
KAGET! Moana Main Air Sendirian Depan Rumah..!!~563,190~0~2~59~https://www.youtube.com/watch?v=3D4AYwGsQN5EM
RICIS PINGSAN DAN TENGGELAM..???~406,250~0~2~59~https://www.youtube.com/watch?v=3D_tvinG2DtQ4
REAKSI MOANA LIAT SUGAR GLIDER! GA ADA TAKUT-TAKUTNYA..~449,620~0~2~59~https://www.youtube.com/watch?v=3DeHZxEH9u2Iw
EXTRIM! JANTUNG MAU COPOT NAIK GONDOLA KEBUKA DI LAUT LEPAS..!!~364,294~0~2~59~https://www.youtube.com/watch?v=3DCjrH6lwgrsY
JANGAN KAGET! ADA MERMAID ASLI DI BAWAH AIR=F0=9F=A7=9C=E2=80=8D=E2=99=80=EF=B8=8F~298,496~0~2~59~https://www.youtube.com/watch?v=3D98rwE8p7e6A
Tiba-Tiba Ke NGAWI ke NGUNDUH MANTU DENNY CAKNAN.. Heboh Banget..~524,434~0~2~59~https://www.youtube.com/watch?v=3DJl90e0l81d0
JANGAN DITONTON KALAU TAKUT SETAN.!!~273,627~0~2~59~https://www.youtube.com/watch?v=3DWDl-GAJ3SCM
17 AGUSTUSAN PALING HEBOH TIM RICIS!!~453,731~0~3~90~https://www.youtube.com/watch?v=3DZYaDc8_NtYE
JARANG TERJADI!! Tasya Farasya &amp; Nanda Arsyinta Bersatu Jadi Mermaid!!!!~217,055~0~3~90~https://www.youtube.com/watch?v=3DE3XYsb7M7vo
SEHARIAN PAPA IYAN JAGA MOANA.. sweet Banget..~326,658~0~3~90~https://www.youtube.com/watch?v=3DPJexqqE5IVw
WADUH, Moana Ketemu Yusuf Ribut Lagi..??!!!~298,905~0~3~90~https://www.youtube.com/watch?v=3D2JT7I2f3K0A
MOANA NGEREOG GA BERHENTI.. Pulang-Pulang Ngamuk Sama Papanya..~317,719~0~3~90~https://www.youtube.com/watch?v=3DWe6Bn407JoY
OMG! Mermaid Silicon 11kg akhirnya Dipake Dikolam 16 meter..!!~230,939~0~3~90~https://www.youtube.com/watch?v=3DrkfyKLVDUM4
UNBOXING KADO MEWAH MOANA..!! Dapet Mobil??~298,611~0~3~90~https://www.youtube.com/watch?v=3DzLJa2Q3fF-w
CAPE BANGET SAMA MOANA.. Udah Sehat Sampe Kepeleset..!!~364,407~0~3~90~https://www.youtube.com/watch?v=3D56nsfiTCa64
Terimakasih.~281,149~0~3~90~https://www.youtube.com/watch?v=3DGtsjth75Qn8
GA TEGA MOANA DEMAM DIA LEMES BANGET..~422,437~0~3~90~https://www.youtube.com/watch?v=3D6JgiyiuDWw0
MOANA NGAMUK! Gak Mau Pake Mukena.. aduhh..~357,377~0~3~90~https://www.youtube.com/watch?v=3D3azuTSLIEDs
EXTRIM! Ricis ajak Moana Main badminton..!! Rusuh Banget Kabur-Kaburan..~418,228~0~3~90~https://www.youtube.com/watch?v=3D1-Ocwcv1Sv8
GAK NYANGKA RUMAH BARU MPOK ALPA MEWAH BANGET..!!!~978,890~0~3~90~https://www.youtube.com/watch?v=3DZkrffgPXDIQ
UNBOXING KADO MOANA Part 2! Kok Gak Abis-Abis?~2,213,048~0~3~90~https://www.youtube.com/watch?v=3DEMAMQzML07M
UNBOXING KADO MOANA!!~4,867,918~0~3~90~https://www.youtube.com/watch?v=3DXZVHsPr7klo
MOANA TIDUR DI ACARA ULTAH..!!~778,590~0~3~90~https://www.youtube.com/watch?v=3DUq9o-VaRq-s
NYELEM JAM 12 MALAM!! Horor Banget..!!~207,116~0~3~90~https://www.youtube.com/watch?v=3D-1Jygx5_3io
YUSUF ULTAH HEBOH BANGET 1 GEDUNG!! Wkwk~354,150~0~3~90~https://www.youtube.com/watch?v=3DKYEfkadz_4M
MASYAALLAH BISA-BISANYA MOANA BANGUN TIDUR MALAH BEGINI AKROBAT..~657,493~0~3~90~https://www.youtube.com/watch?v=3DF3-yIoYByBk
MOANA NUNJUKIN KESAKTIANNYA!! Nyelem Dua Kali Anti Rewel..!!!~368,764~0~3~90~https://www.youtube.com/watch?v=3DEzFZ801j4xE
SELAMAT ULANG TAHUN, MOANA..~527,797~0~3~90~https://www.youtube.com/watch?v=3DkJtqT63kX1s
YA ALLAH MOANA SUSAH BANGET TIDURNYA..!!~856,902~0~3~90~https://www.youtube.com/watch?v=3DOxwpturaPqQ
Happy Birthday Papa Billar!!!~415,481~0~3~90~https://www.youtube.com/watch?v=3Du-as4OH688E
RICIS BINGUNG ULTAH BOCIL HEBOH BANGET..~341,826~0~3~90~https://www.youtube.com/watch?v=3DwrQPezj8-Ak
MOBIL BARU DICORET ORANG GAK TANGGUNG JAWAB..!!~734,344~0~3~90~https://www.youtube.com/watch?v=3DAP-FLmN1l_c
REVIEW JUJUR! deg-degan.. KETEMU ORANGNYA??!! Julid Banget Kita..~242,191~0~3~90~https://www.youtube.com/watch?v=3DSGmLwbEzr7M
PERDANA BERHASIL BIKIN SUAMI PAKE MERMAID!!! Kaget Banget dia!! Wkwk~383,527~0~3~90~https://www.youtube.com/watch?v=3DEz33MiYFvHE
AKU JADI ORANG PERTAMA YANG MASUK ISTANA WILLIE SALIM!! Megah Banget.!!!~1,569,163~0~3~90~https://www.youtube.com/watch?v=3DPqxy1-muZAY
MIKHAYA JADI ORANG TUA MOANA.. Romantis Cocok Banget..!!!~1,192,028~0~3~90~https://www.youtube.com/watch?v=3DASE9gzJvsFo
